Point: 0	  Real: 0.258394 	Image:  0.025450
Point: 1	  Real: 0.463477 	Image:  0.045648
Point: 2	  Real: 0.771515 	Image:  0.075988
Point: 3	  Real: 0.622603 	Image:  0.061321
Point: 4	  Real: 1.693620 	Image:  0.166807
Point: 5	  Real: 1.315976 	Image:  0.129612
Point: 6	  Real: 0.924787 	Image:  0.091084
Point: 7	  Real: 1.096961 	Image:  0.108041
Point: 8	  Real: 0.248464 	Image:  0.075371
Point: 9	  Real: 0.445666 	Image:  0.135191
Point: 10	  Real: 0.741866 	Image:  0.225043
Point: 11	  Real: 0.598677 	Image:  0.181607
Point: 12	  Real: 1.628535 	Image:  0.494011
Point: 13	  Real: 1.265403 	Image:  0.383856
Point: 14	  Real: 0.889247 	Image:  0.269750
Point: 15	  Real: 1.054805 	Image:  0.319972
Point: 16	  Real: 0.200708 	Image:  0.164717
Point: 17	  Real: 0.360006 	Image:  0.295449
Point: 18	  Real: 0.599275 	Image:  0.491812
Point: 19	  Real: 0.483607 	Image:  0.396886
Point: 20	  Real: 1.315520 	Image:  1.079620
Point: 21	  Real: 1.022185 	Image:  0.838886
Point: 22	  Real: 0.718329 	Image:  0.589517
Point: 23	  Real: 0.852065 	Image:  0.699272
Point: 24	  Real: 0.228986 	Image:  0.122396
Point: 25	  Real: 0.410728 	Image:  0.219539
Point: 26	  Real: 0.683708 	Image:  0.365450
Point: 27	  Real: 0.551744 	Image:  0.294913
Point: 28	  Real: 1.500866 	Image:  0.802230
Point: 29	  Real: 1.166202 	Image:  0.623348
Point: 30	  Real: 0.819535 	Image:  0.438051
Point: 31	  Real: 0.972114 	Image:  0.519606
Point: 32	  Real: 0.025450 	Image:  0.258394
Point: 33	  Real: 0.045648 	Image:  0.463477
Point: 34	  Real: 0.075988 	Image:  0.771515
Point: 35	  Real: 0.061321 	Image:  0.622603
Point: 36	  Real: 0.166807 	Image:  1.693620
Point: 37	  Real: 0.129612 	Image:  1.315976
Point: 38	  Real: 0.091084 	Image:  0.924787
Point: 39	  Real: 0.108041 	Image:  1.096961
Point: 40	  Real: 0.075371 	Image:  0.248464
Point: 41	  Real: 0.135191 	Image:  0.445666
Point: 42	  Real: 0.225043 	Image:  0.741866
Point: 43	  Real: 0.181607 	Image:  0.598677
Point: 44	  Real: 0.494011 	Image:  1.628535
Point: 45	  Real: 0.383856 	Image:  1.265403
Point: 46	  Real: 0.269750 	Image:  0.889247
Point: 47	  Real: 0.319972 	Image:  1.054805
Point: 48	  Real: 0.164717 	Image:  0.200708
Point: 49	  Real: 0.295449 	Image:  0.360006
Point: 50	  Real: 0.491812 	Image:  0.599275
Point: 51	  Real: 0.396886 	Image:  0.483607
Point: 52	  Real: 1.079620 	Image:  1.315520
Point: 53	  Real: 0.838886 	Image:  1.022185
Point: 54	  Real: 0.589517 	Image:  0.718329
Point: 55	  Real: 0.699272 	Image:  0.852065
Point: 56	  Real: 0.122396 	Image:  0.228986
Point: 57	  Real: 0.219539 	Image:  0.410728
Point: 58	  Real: 0.365450 	Image:  0.683708
Point: 59	  Real: 0.294913 	Image:  0.551744
Point: 60	  Real: 0.802230 	Image:  1.500866
Point: 61	  Real: 0.623348 	Image:  1.166202
Point: 62	  Real: 0.438051 	Image:  0.819535
Point: 63	  Real: 0.519606 	Image:  0.972114
Point: 64	  Real: -0.258394	Image:   0.025450
Point: 65	  Real: -0.463477	Image:   0.045648
Point: 66	  Real: -0.771515	Image:   0.075988
Point: 67	  Real: -0.622603	Image:   0.061321
Point: 68	  Real: -1.693620	Image:   0.166807
Point: 69	  Real: -1.315976	Image:   0.129612
Point: 70	  Real: -0.924787	Image:   0.091084
Point: 71	  Real: -1.096961	Image:   0.108041
Point: 72	  Real: -0.248464	Image:   0.075371
Point: 73	  Real: -0.445666	Image:   0.135191
Point: 74	  Real: -0.741866	Image:   0.225043
Point: 75	  Real: -0.598677	Image:   0.181607
Point: 76	  Real: -1.628535	Image:   0.494011
Point: 77	  Real: -1.265403	Image:   0.383856
Point: 78	  Real: -0.889247	Image:   0.269750
Point: 79	  Real: -1.054805	Image:   0.319972
Point: 80	  Real: -0.200708	Image:   0.164717
Point: 81	  Real: -0.360006	Image:   0.295449
Point: 82	  Real: -0.599275	Image:   0.491812
Point: 83	  Real: -0.483607	Image:   0.396886
Point: 84	  Real: -1.315520	Image:   1.079620
Point: 85	  Real: -1.022185	Image:   0.838886
Point: 86	  Real: -0.718329	Image:   0.589517
Point: 87	  Real: -0.852065	Image:   0.699272
Point: 88	  Real: -0.228986	Image:   0.122396
Point: 89	  Real: -0.410728	Image:   0.219539
Point: 90	  Real: -0.683708	Image:   0.365450
Point: 91	  Real: -0.551744	Image:   0.294913
Point: 92	  Real: -1.500866	Image:   0.802230
Point: 93	  Real: -1.166202	Image:   0.623348
Point: 94	  Real: -0.819535	Image:   0.438051
Point: 95	  Real: -0.972114	Image:   0.519606
Point: 96	  Real: -0.025450	Image:   0.258394
Point: 97	  Real: -0.045648	Image:   0.463477
Point: 98	  Real: -0.075988	Image:   0.771515
Point: 99	  Real: -0.061321	Image:   0.622603
Point: 100	  Real: -0.166807	Image:   1.693620
Point: 101	  Real: -0.129612	Image:   1.315976
Point: 102	  Real: -0.091084	Image:   0.924787
Point: 103	  Real: -0.108041	Image:   1.096961
Point: 104	  Real: -0.075371	Image:   0.248464
Point: 105	  Real: -0.135191	Image:   0.445666
Point: 106	  Real: -0.225043	Image:   0.741866
Point: 107	  Real: -0.181607	Image:   0.598677
Point: 108	  Real: -0.494011	Image:   1.628535
Point: 109	  Real: -0.383856	Image:   1.265403
Point: 110	  Real: -0.269750	Image:   0.889247
Point: 111	  Real: -0.319972	Image:   1.054805
Point: 112	  Real: -0.164717	Image:   0.200708
Point: 113	  Real: -0.295449	Image:   0.360006
Point: 114	  Real: -0.491812	Image:   0.599275
Point: 115	  Real: -0.396886	Image:   0.483607
Point: 116	  Real: -1.079620	Image:   1.315520
Point: 117	  Real: -0.838886	Image:   1.022185
Point: 118	  Real: -0.589517	Image:   0.718329
Point: 119	  Real: -0.699272	Image:   0.852065
Point: 120	  Real: -0.122396	Image:   0.228986
Point: 121	  Real: -0.219539	Image:   0.410728
Point: 122	  Real: -0.365450	Image:   0.683708
Point: 123	  Real: -0.294913	Image:   0.551744
Point: 124	  Real: -0.802230	Image:   1.500866
Point: 125	  Real: -0.623348	Image:   1.166202
Point: 126	  Real: -0.438051	Image:   0.819535
Point: 127	  Real: -0.519606	Image:   0.972114
Point: 128	  Real: 0.258394 	Image:  -0.025450
Point: 129	  Real: 0.463477 	Image:  -0.045648
Point: 130	  Real: 0.771515 	Image:  -0.075988
Point: 131	  Real: 0.622603 	Image:  -0.061321
Point: 132	  Real: 1.693620 	Image:  -0.166807
Point: 133	  Real: 1.315976 	Image:  -0.129612
Point: 134	  Real: 0.924787 	Image:  -0.091084
Point: 135	  Real: 1.096961 	Image:  -0.108041
Point: 136	  Real: 0.248464 	Image:  -0.075371
Point: 137	  Real: 0.445666 	Image:  -0.135191
Point: 138	  Real: 0.741866 	Image:  -0.225043
Point: 139	  Real: 0.598677 	Image:  -0.181607
Point: 140	  Real: 1.628535 	Image:  -0.494011
Point: 141	  Real: 1.265403 	Image:  -0.383856
